Station Number,State,Temp Min,Temp Max,DO Min,DO Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Faecal Coliform Min,Faecal Coliform Max,Total Coliform Min,Total Coliform Max
2945,RAJASTHAN,19,31,4.9,5.7,7.6,8.6,180,420,0.9,1.2,0.1,1.6,4,14,7,150
2946,RAJASTHAN,18,31,5.1,6.3,7.6,8.7,190,580,0.9,1.7,0.1,1.7,4,7,7,75
3132,BIHAR,16,35,7.2,8.8,6.9,8.2,242,1030,2,2.9,0,0,500,2600,1400,5000
3135,BIHAR,20,34,7.4,9.1,7.4,8.8,242,391,1.8,2.9,0,0,900,2600,3000,9000
2116,MADHYA PRADESH,18,33,6.2,7.6,7.4,7.6,322,789,1.5,2.2,0.7,1.9,6,33,33,280
3129,BIHAR,15,30,6.5,9.6,7.5,8.2,278,503,2.4,2.8,0,0,800,3000,2200,7000
3124,BIHAR,17,33,7.5,8.8,7.2,8.4,251,670,1.7,2.9,0,0,200,2400,3000,9000
3125,BIHAR,17,30,7,9.8,7.3,8.6,233,326,1.8,2.9,0,0,50,2300,1100,4300
3126,BIHAR,16,30,7.2,8.6,7.1,8.3,223,477,1.8,2.8,0,0,300,2300,800,5000
2524,WEST BENGAL,20,32,6,8.3,7.2,8.1,100,172,1.4,4.2,0.1,0.4,1400,22000,11000,90000
3133,BIHAR,20,29,7.5,10,7.7,8.5,298,478,2,2.9,0,0,700,5000,3000,16000
2110,MADHYA PRADESH,22,29,3.4,5.4,7,8.2,904,1516,8,80,2.5,29,24,940,500,1600
2111,MADHYA PRADESH,21,29,3.2,6.2,7.3,8.2,662,1240,4,26,4.9,11,3.5,130,300,1600
3119,BIHAR,12,30,6.5,9.6,7,8.6,224,632,2.1,3.3,0,0,800,3000,2200,9000
3120,BIHAR,14,32,6.5,10,7.1,8.5,226,575,2,3,0,0,700,2200,1700,7000
3130,BIHAR,16,32,6.9,8,7.1,7.9,275,466,2,2.8,0,0,700,2600,1300,4700
3329,MADHYA PRADESH,20,30,6.7,7.8,7.2,7.7,343,769,1.5,1.9,0.1,1.5,6,14,21,90
1143,MADHYA PRADESH,19,31,6,7.8,7.5,7.8,61,1396,1.5,2.5,0.7,2.8,6,33,33,300
1331,WEST BENGAL,20,31,6.3,12,7.4,8.1,163,374,1.1,7.9,0.1,1.2,500,90000,700,160000
1332,WEST BENGAL,21,32,6.6,12,7.1,8.3,179,367,1.1,4.3,0.2,0.7,200,35000,400,160000
1333,WEST BENGAL,22,34,4.7,15,7.1,8.4,312,455,2,8.9,0.3,1,400,22000,2200,90000
1334,WEST BENGAL,21,34,4.9,8.7,7.1,8.4,198,914,1.1,4.7,0.1,1.4,800,24000,1300,90000
1335,WEST BENGAL,23,32,5.4,8.1,7.5,8.2,1397,22600,0.7,4,0.1,0.5,2700,28000,11000,160000
2527,WEST BENGAL,21,36,6.5,11.3,7.4,8.3,176,400,1.2,5.6,0.2,0.9,200,17000,400,160000
